# Node_nr = 300
# SCALE FREE p=0.02 K_MIN=2 K_MAX=300 <k>=6.28667 <k^2>=5.17116 
# K <r> sigma_<r>
0 0.0634918 0.00252667 
30 0.0646632 0.00296594 
60 0.0794531 0.0044094 
90 0.20451 0.010151 
120 0.600423 0.00150448 
150 0.82482 0.000740572 
180 0.880144 0.000600223 
210 0.912111 0.000426181 
240 0.930486 0.000438062 
270 0.942653 0.000300324 
300 0.951718 0.000559625 
