0	-2e-06	0
0.01	6e-06	0
0.02	6e-06	0
0.03	6e-06	0
0.04	8e-06	0
0.05	8e-06	0
0.06	8e-06	0
0.07	8e-06	0
0.08	8e-06	0
0.09	8e-06	0
0.1	8e-06	0
0.11	8e-06	0
0.12	8e-06	0
0.13	1e-05	0
0.14	1e-05	0
0.15	1e-05	0
0.16	1e-05	0
0.17	1e-05	0
0.18	1.2e-05	0
0.19	1.2e-05	0
0.2	1.2e-05	0
0.21	1.2e-05	0
0.22	1.2e-05	0
0.23	1.2e-05	0
0.24	1.2e-05	0
0.25	1.2e-05	0
0.26	1.2e-05	0
0.27	1.4e-05	0
0.28	1.6e-05	0
0.29	1.6e-05	0
0.3	1.6e-05	0
0.31	1.6e-05	0
0.32	1.6e-05	0
0.33	1.6e-05	0
0.34	1.6e-05	0
0.35	1.6e-05	0
0.36	1.6e-05	0
0.37	1.6e-05	0
0.38	2.2e-05	0
0.39	2.2e-05	0
0.4	2.2e-05	0
0.41	2.2e-05	0
0.42	2.2e-05	0
0.43	2.2e-05	0
0.44	2.4e-05	0
0.45	2.4e-05	0
0.46	2.4e-05	0
0.47	2.6e-05	0
0.48	2.6e-05	0
0.49	2.6e-05	0
0.5	2.6e-05	0
0.51	3e-05	0
0.52	3e-05	0
0.53	3e-05	0
0.54	3.2e-05	0
0.55	3.2e-05	0
0.56	3.4e-05	0
0.57	3.6e-05	0
0.58	3.8e-05	0
0.59	3.8e-05	0
0.6	3.8e-05	0
0.61	4.2e-05	0
0.62	4.2e-05	0
0.63	5.2e-05	0
0.64	5.2e-05	0
0.65	5.2e-05	0
0.66	5.2e-05	0
0.67	5.6e-05	0
0.68	6e-05	0
0.69	6.4e-05	0
0.7	6.6e-05	0
0.71	7.8e-05	0
0.72	9e-05	0
0.73	9.2e-05	0
0.74	9.4e-05	0
0.75	0.0001	0
0.76	0.000134	0
0.77	0.000134	0
0.78	0.00015	0
0.79	0.00018	0
0.8	0.00018	0
0.81	0.000192	0
0.82	0.000224	0
0.83	0.000302	0
0.84	0.000406	0
0.85	0.000518	0
0.86	0.000738	0
0.87	0.001258	0
0.88	0.002816	0
0.89	0.614768	0
0.9	0.743548	0
0.91	0.795352	0
0.92	0.831966	0
0.93	0.862254	0
0.94	0.888118	0
0.95	0.915334	0
0.96	0.932958	0
0.97	0.951516	0
0.98	0.96896	0
0.99	0.984934	0
