87	33	0	0	-0.125655	0.0394177
49	16	0	0	0.480668	-0.226361
84	31	0	0	0.411728	0.354168
84	26	0.382948	0	0.411728	-0.445552
39	80	0	0	0.0166005	-0.165815
69	75	0	0	0.138501	-0.195097
16	26	0.127153	0.107094	-0.226361	-0.445552
3	74	0	0	0.47143	-0.329235
87	26	-0.0431188	0.115075	-0.125655	-0.445552
57	82	0	0	-0.339456	0.336952
4	93	0	0	0.327308	0.122698
91	26	0	0.0702219	-0.198396	-0.445552
66	8	0	0	-0.136778	-0.0570315
1	92	0	0	-0.0817828	0.201482
68	14	0	0	-0.219499	-0.323526
67	93	0	0.225003	0.490851	0.122698
67	38	0.314116	-0.0787997	0.490851	-0.488947
75	14	-0.0282978	-0.271513	-0.195097	-0.323526
9	16	0	0.0364105	-0.190805	-0.226361
8	24	-0.0969045	0	-0.0570315	0.245986
24	34	0.0180475	0	0.245986	-0.364289
59	32	0	0	-0.0927882	-0.271759
71	73	0	0	-0.388424	0.121349
71	39	-0.133538	-0.074607	-0.388424	0.0166005
69	79	-0.149828	0	0.138501	-0.118097
3	42	0.0710979	0	0.47143	0.106738
15	22	0	0	0.0235331	0.48512
42	80	0.0826495	-0.103787	0.106738	-0.165815
69	10	-0.142722	0	0.138501	0.352906
36	79	0	-0.0601994	-0.203743	-0.118097
79	71	-0.0824054	-0.0239129	-0.118097	-0.388424
67	81	0.156391	0	0.490851	0.398822
6	22	0	0.254327	-0.160683	0.48512
84	86	0.0142153	0	0.411728	0.270664
45	22	0	0.115732	0.444453	0.48512
97	51	0	0	-0.0170529	0.027917
4	34	0.19685	-0.0779848	0.327308	-0.364289
75	99	-0.0527629	0	-0.195097	-0.13458
67	9	0.0869579	0.0372278	0.490851	-0.190805
30	16	0	0.0606946	-0.34663	-0.226361
32	1	-0.182273	0.0598495	-0.271759	-0.0817828
1	49	-0.0616477	0.042027	-0.0817828	0.480668
27	89	0	0	0.0322654	0.473294
6	61	0.197478	0	-0.160683	0.28134
45	61	0.215143	0.215143	0.444453	0.28134
80	22	-0.058124	0.214397	-0.165815	0.48512
75	89	0.00946612	0.25278	-0.195097	0.473294
49	20	0.0267395	0	0.480668	-0.0414165
79	63	0.0323597	0	-0.118097	0.0828467
6	75	0.0346378	0.0346378	-0.160683	-0.195097
27	34	0.0349609	0.0228778	0.0322654	-0.364289
79	99	0.0285363	0.0285363	-0.118097	-0.13458
54	5	0	0.0282003	-0.0514805	0.331347
82	67	-0.00125237	0.0271025	0.336952	0.490851
11	15	0	0.0260861	-0.373965	0.0235331
31	87	0.0184857	0.0184857	0.354168	-0.125655
51	24	0.00543202	0.0184749	0.027917	0.245986
17	24	0	0.0177852	-0.408717	0.245986
98	70	0	0	-0.0591241	0.155783
37	80	0	0.0103518	0.0466684	-0.165815
20	64	0.0106368	0	-0.0414165	-0.485859
71	21	0.0021364	0	-0.388424	0.35423
10	8	0.00795418	0.00795418	0.352906	-0.0570315
23	37	0	0.00850748	0.458647	0.0466684
82	35	0.0155025	0	0.336952	-0.131083
79	93	0.0132828	0.0132828	-0.118097	0.122698
94	88	0	0	-0.318084	0.0574635
2	51	0	0.0138671	0.403971	0.027917
53	79	0	0.0194883	0.366271	-0.118097
60	88	0	-0.13031	-0.0755059	0.0574635
52	36	0	0.0248832	-0.414405	-0.203743
38	88	0.0185474	-0.112367	-0.488947	0.0574635
60	18	0.012801	0	-0.0755059	0.320646
59	47	0.01685	0	-0.0927882	-0.223786
93	56	0.0131319	0	0.122698	-0.449367
93	53	0.00768494	0.00768494	0.122698	0.366271
70	69	0.0483295	0.00667391	0.155783	0.138501
91	48	0.00782779	0	-0.198396	0.408316
40	91	0	0.0133487	-0.240145	-0.198396
21	52	0.00958579	0.00958579	0.35423	-0.414405
52	11	0.00938039	0.00938039	-0.414405	-0.373965
8	21	0.0101094	0.0101094	-0.0570315	0.35423
64	96	0.0096726	0	-0.485859	0.216241
39	26	0.0128348	0.0128348	0.0166005	-0.445552
79	8	0.0127851	0.0127851	-0.118097	-0.0570315
52	49	0.0126123	0.0126123	-0.414405	0.480668
2	32	0.0127086	0.0127086	0.403971	-0.271759
88	57	0.0133329	0.0133329	0.0574635	-0.339456
31	5	0.0129154	0.0129154	0.354168	0.331347
76	61	0	0.0131481	0.401282	0.28134
3	64	0.0178601	0.0178601	0.47143	-0.485859
57	19	0.0179938	0	-0.339456	-0.184358
77	27	0	0.0150225	-0.390868	0.0322654
76	23	0.0105519	0.0105519	0.401282	0.458647
1	23	0.0103091	0.0103091	-0.0817828	0.458647
88	23	0.0108311	0.0108311	0.0574635	0.458647
8	73	0.00974009	0.00974009	-0.0570315	0.121349
75	26	0.0101913	0.0101913	-0.195097	-0.445552
67	95	0.0103615	0	0.490851	-0.210491
